id,lon,lat,name,address,pname,cityname,business_area,type
B0IDAU1LJL,120.231728,30.229327,杭州奥体中心网球中心T5场地,飞虹路与滨盛路辅路交叉口东北420米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IDJH1I4H,120.079378,30.255047,杭州e网打进网球俱乐部,花蒋路和西溪路交叉口向北198米杭州射击射箭中心内部,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0IDZ57I9U,120.030249,30.242626,欣冉网球,五常街道联胜路华立181社区欣冉网球场,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IGLA2CMS,119.969890,30.253985,杭州韦伦体育网球中心,仓前街道温莎郡文体中心,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IGYRL2WH,119.973264,30.228641,浙江涵韬网球俱乐部,圣地路4号D幢301,浙江省,杭州市,闲林,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0IR6ZN1KI,120.149681,30.362317,美澳网球俱乐部,康桥街道电厂路5号王家门网球场,浙江省,杭州市,康桥,体育休闲服务;运动场馆;网球场
B0IRMHMZYJ,120.279370,30.425339,杭州阿蓝网球俱乐部(开发区休闲体育场店),月荷路129号,浙江省,杭州市,[],科教文化服务;培训机构;培训机构
B0IRPU5B1B,120.055027,30.235117,祥健网球,屏基山路41号,浙江省,杭州市,留下,公司企业;公司;公司
B0IRVCSKP8,120.233037,30.227996,杭州奥林匹克体育中心网球中心,滨盛路8号(奥体中心地铁站D2口步行490米),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IRZ54XNW,119.987039,30.282625,杭州悦动网球,仓前街道龙泉路6号7号楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IUJULGNS,120.081547,30.326367,快网网球俱乐部(兰里雷迪森庄园店),杭州市西湖区厚仁路158号雷迪森酒店7F,浙江省,杭州市,三墩,体育休闲服务;运动场馆;网球场
B0IUU5UIG2,120.094532,30.341529,西澳网球(西田城购物中心店),莫干山路1513号西田城购物中心F4层,浙江省,杭州市,金家渡,体育休闲服务;运动场馆;网球场
B0J02XPXY4,119.971766,30.053051,临江花园网球场,杭州临江花园度假酒店西北100米(环山路东),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J0XUHGBX,120.217329,30.178069,杭州乐网(网球)俱乐部,聚园路9号民生峰达生命科技园(万事利园区)B幢三楼,浙江省,杭州市,西兴,体育休闲服务;运动场馆;网球场
B0J1175OKT,120.230521,30.340787,杭州清新网球俱乐部,笕丁路383号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J1CCEVO1,120.014831,30.309459,泰尼思瑞网球运动中心,仓前街道姚家头32号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J1GH6TZM,120.239760,30.360720,丁兰网球俱乐部,长睦路与白马庄街交叉口西120米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J1ROMEBH,120.145102,30.302438,元谷网球中心,长乐路29号,浙江省,杭州市,大关,体育休闲服务;运动场馆;网球场
B0J1ZPAAHB,120.204730,30.264794,四季青小学网球馆,蔚蓝巷与蔚蓝北巷交叉口西北40米,浙江省,杭州市,凯旋,体育休闲服务;运动场馆;网球场
B0J2F5XYLA,120.270310,30.243108,世纪城星体网球中心,盈丰通文路与盈新路交叉口,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J64Z7E2S,120.045378,30.234102,浙江工业大学屏峰校区网球场,留下街道留和路288号浙江工业大学屏峰校区,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0J64Z8G8W,120.198012,30.267550,浙江大学华家池校区网球场,凯旋路268号浙江大学华家池校区,浙江省,杭州市,凯旋,体育休闲服务;运动场馆;网球场
B0J6B4PZP1,120.192197,30.342636,飞纳体育,永佳灯具市场2楼,浙江省,杭州市,杭州新天地,体育休闲服务;运动场馆;网球场
B0J6S52PPJ,120.046688,30.290649,西溪八方城网球场,西溪八方城2-203,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JA1UL71E,119.915042,30.113949,富阳·林间网球俱乐部Forest Club,银湖街道云和南路18号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JAR12HOI,120.252730,30.223361,快网网球俱乐部(印力汇德隆杭州奥体印象城店),飞虹路1408号印力汇德隆奥体印象城楼顶网球场((6楼),浙江省,杭州市,文明路,体育休闲服务;运动场馆;网球场
B0JB75JHVP,120.127376,30.332242,青学草地网球场,石祥路469号,浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0JBLCSFAD,120.021084,30.243348,大强网球培训中心(翡翠城室外场地),五常大道346号翡翠城商业中心3楼,浙江省,杭州市,[],科教文化服务;培训机构;培训机构
B0JBLUU43P,120.037230,30.244094,大强网球培训中心(室内馆),五常大道157号5幢2楼,浙江省,杭州市,[],科教文化服务;培训机构;培训机构
B0JBMCZ32I,120.114594,30.335260,杭州GS网球俱乐部(浙报店),祥茂路38号(祥园路地铁站C口步行290米),浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0JDMU1D77,120.186793,30.321541,52网球俱乐部,费家塘路588号19幢楼顶,浙江省,杭州市,东新,体育休闲服务;运动场馆;网球场
B0JGH6R0XQ,120.177071,30.186358,鼎尖网球俱乐部,建业路元巢科创园一号楼顶层,浙江省,杭州市,江南,体育休闲服务;运动场馆;网球场
B0JGJZ3CU7,120.222409,30.256108,上城体育中心网球中心,富春路与庆谐路交叉口东南160米,浙江省,杭州市,新城片区,体育休闲服务;运动场馆;网球场
B0JGR41SIJ,120.165634,30.243768,繁胜茶书院网球场(杭州西湖银泰百货店),延安路98号银泰百货杭州西湖店F5层,浙江省,杭州市,吴山,体育休闲服务;运动场馆;网球场
B0JKKRA4UG,120.347596,30.217449,活跃网球俱乐部,恒盛路与高创路交叉口北180米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JKKSDXTR,120.211949,30.179868,浩动网球学练中心,江晖路创伟科技园D幢东门4楼,浙江省,杭州市,长河,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0JKMCHGB8,119.986198,30.281825,杭州星辰网球俱乐部,城园汇2号楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JROHWIDN,120.291696,30.313774,城东体育网球训练中心,德胜东路1119堡,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JU5M6VDR,120.041360,30.414024,溪上网球俱乐部,良渚街道新港村委南侧200米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JUGDBLFO,120.075781,30.159686,热点网球俱乐部(网球场),美院北街星光荟旁,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JUMM0HWH,119.696088,29.793291,艾斯网球俱乐部,大联路与白云源路交叉口北80米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JUUXTT3M,119.709358,29.771934,凤栖生命港-网球场,童巴路与大奇山路交叉口西南220米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JUVCF2ID,120.202248,30.160971,健乐网球俱乐部,白马湖会展中心B馆负一楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0JUY5MVTU,120.222849,30.318848,东程网球俱乐部,机场路258号,浙江省,杭州市,笕桥,体育休闲服务;运动场馆;网球场
B0K045V6BI,120.492798,30.326709,卢咔网球(网球羽毛球馆),迎康路49号,浙江省,杭州市,[],体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K04OU9BZ,120.150199,30.343698,致胜网球羽毛球(顺丰创新中心旗舰馆),候圣街99号顺丰创新中心T3座B裙房商场3楼,浙江省,杭州市,康桥,体育休闲服务;运动场馆;网球场
B0K0AZQMY9,120.103580,30.297073,阳光蚂蚁网球俱乐部(政苑校区),丰潭路207号政苑游泳馆二楼,浙江省,杭州市,文新,科教文化服务;科教文化场所;科教文化场所
B0K0CCETCC,120.121503,30.323778,德莱网球运动馆,"花园岗街183,185,187,189号崇安中心",浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0K0SSZQPJ,120.115364,30.335600,NEO尼奥网球学练馆,祥园路浙报印务东1区5楼,浙江省,杭州市,祥符街,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K0X1SRFA,120.203594,30.171658,幸运球网球学练馆,江虹南路316号京安创科园1号楼1楼,浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0K0XN3DO7,120.149552,30.362029,亲亲网球,康桥直街与7号支路交叉口南100米,浙江省,杭州市,康桥,体育休闲服务;运动场馆;网球场
